[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/acorn-jsx/node_modules/acorn/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/acorn-jsx/node_modules/acorn/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/array-find-index/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/array-find-index/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/babel-code-frame/node_modules/ansi-regex/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/babel-code-frame/node_modules/ansi-regex/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/brace-expansion/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/brace-expansion/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/circular-json/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/circular-json/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/co/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/co/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/code-point-at/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/code-point-at/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-set/node_modules/es6-symbol/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-set/node_modules/es6-symbol/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-set/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-set/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-symbol/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/es6-symbol/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/is-fullwidth-code-point/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/is-fullwidth-code-point/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/restore-cursor/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/eslint/node_modules/restore-cursor/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/esrecurse/node_modules/estraverse/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/esrecurse/node_modules/estraverse/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/event-emitter/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/event-emitter/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/flat-cache/node_modules/rimraf/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/flat-cache/node_modules/rimraf/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/graceful-fs/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/graceful-fs/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-arrayish/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-arrayish/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-core-module/core.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-core-module/core.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-core-module/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-core-module/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-number/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-number/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-property/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/is-property/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/next-tick/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/next-tick/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/path-parse/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/path-parse/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/load-json-file/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/load-json-file/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/path-exists/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/path-exists/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/path-type/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/read-pkg-up/node_modules/path-type/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/readline2/node_modules/is-fullwidth-code-point/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/readline2/node_modules/is-fullwidth-code-point/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/readline2/node_modules/mute-stream/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/readline2/node_modules/mute-stream/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/repeating/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/repeating/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/require-uncached/node_modules/callsites/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/require-uncached/node_modules/callsites/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-correct/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-correct/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-expression-parse/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/spdx-expression-parse/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/sprintf-js/bower.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/sprintf-js/bower.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/sprintf-js/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/sprintf-js/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/supports-preserve-symlinks-flag/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/supports-preserve-symlinks-flag/package.json'
[Error - 12:41:24 AM] Failed to load entities from /home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/ansi-styles/package.json: Error: ENOENT: no such file or directory, open '/home/sandeepkhadka9090/.codeoss/extensions/.4890666e-73db-4227-a965-b005a2c87e4f/node_modules/table/node_modules/ansi-styles/package.json'
